공종,코드,명칭,규격,단위,CalRevitWall,재료비단가,노무비단가,경비단가,합계단가,RecCost1,RecCost2,산식2,산식3
,,공 통 가 설,,,GrossSideArea*2,100,200,300,1000,2000,3,GrossSideArea,GrossSideArea*2
공통가설,1AAAA000,1. 가설 사무실,,,GrossSideArea*GrossSideArea,100,200,300,1000,2000,3,GrossSideArea,GrossSideArea*2
공통가설,1AAAA010,조립식가설사무소,PRE-FAB 2F G/P ROOF,M2,Depth,100,200,300,1000,2000,3,GrossSideArea,GrossSideArea*2
공통가설,1AAAA020,가설건물 해체,,M2,1000,100,200,300,1000,2000,3,GrossSideArea,GrossSideArea*2
공통가설,1AAAA030,가설건물 바닥정리비,거푸집+타설+와이어메쉬+쇠흙손+차수몰탈,M2,,,,,,,,,
공통가설,1AAAA040,가설건물내부마감,모노륨,M2,,,,,,,,,
공통가설,1AAAA050,가설건물내부마감,에폭시페인트,M2,,,,,,,,,
공통가설,1AAAA060,가설건물내부마감,바닥타일,M2,,,,,,,,,
공통가설,1AAAA070,조립식가설사무소,PRE-FAB- 2F- 해체별도,M2,,,,,,,,,
공통가설,1AAAA080,가설건물 해체,,M2,,,,,,,,,
공통가설,1AAAA090,가설건물바닥정리비,거푸집+타설+와이어매쉬+쇠흙손+차수몰탈,M2,,,,,,,,,
공통가설,1AAAA100,가설건물내부바닥마감,모노륨,M2,,,,,,,,,
공통가설,1AAAA110,가설건물내부바닥마감,에폭시페인트,M2,,,,,,,,,
공통가설,1AAAA120,가설건물내부바닥마감,타일,M2,,,,,,,,,
공통가설,1AAAA130,조립식가설사무소,PRE-FAB 2F G/P ROOF,M2,,,,,,,,,
공통가설,1AAAA140,가설건물 해체,,M2,,,,,,,,,
공통가설,1AAAA150,가설건물 바닥정리비,거푸집+타설+와이어메쉬+쇠흙손+차수몰탈,M2,,,,,,,,,
공통가설,1AAAA160,가설건물내부마감,모노륨,M2,,,,,,,,,
공통가설,1AAAA170,가설건물내부마감,에폭시페인트,M2,,,,,,,,,
공통가설,1AAAA180,가설건물내부마감,타일,M2,,,,,,,,,
공통가설,1AAAA190,조립식가설사무소,PRE-FAB 2F G/P ROOF,M2,,,,,,,,,
공통가설,1AAAA200,가설건물해체,,M2,,,,,,,,,
공통가설,1AAAA210,가설건물바닥정리비,거푸집+타설+와이어메쉬+쇠흙손+차수몰탈,M2,,,,,,,,,
공통가설,1AAAA220,가설건물내부마감,모노륨,M2,,,,,,,,,
공통가설,1AAAA230,가설건물내부마감,타일,M2,,,,,,,,,
