순번,년도,공사번호,유형,유형ID,1,주공사 공사명,"연면적
(㎡)","대지면적
(㎡)","건축면적
(㎡)","조경면적
(㎡)","기준층 층고
(m)","최고높이
(m)",최대지하 층 수,최대지상 층 수,공사일 수,주차대수,내진등급,건축,기계,토목,조경,전기,통신,소방,합계,,가설공사,기초공사,철근콘크리트공사,철골공사,조적공사,방수공사,석공사,타일공사,금속공사(지붕및홈통공사 포함),미장공사,창호및유리공사,목공사및수장공사(인테리어공사 포함),도장공사,해체및 철거공사,폐기물처리비,골재비및운반비,작업부산물,품질시험비,기타공사,기계소계,전기소계,통신소계,소방소계,토목소계,조경소계,총 공사비,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015,2015_10001,일반청사,3,0,창원보호관찰소 진주지소 신축공사,1628.26,2253,461.65,329.36,3.6,16.86,1,4,360,17,C등급,"1,985,048,000", - , - , - ,"242,648,000","124,775,000","96,789,000","2,449,260,000",, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,449,260,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,2015_10002,일반청사,3,0,국민건강보험공단 무안신안지사 사옥 신축공사(건축),1775.68,3182,726.15,805.46,3.9,19.17,0,3,225,35,C등급,"3,124,265,785","143,770,681","206,875,764","133,704,670","429,685,567","216,257,040","86,974,549","4,341,534,056",,"1,866,859.64","329,956.59","6,494,934.95","316,931.99","664,254.71","1,406,657.03","5,726,483.42","607,814.77","2,691,751.11","751,085.39","2,635,311.17","5,670,043.48","225,759.77","134,587.56", -   ,"178,002.90","-26,049.20", -   ,"733,719.26","1,966,714.93","3,143,270.66","1,953,690.33","1,107,091.18","2,869,754.01","1,966,714.93","4,341,534,056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2015,2015_10003,일반청사,3,0,"울산세관 제3기동반 신축 건축공사(기계,설비 포함)",387.25,471.09,0,0,0,0,0,2,60,0,서류없음,"559,762,000", - , - , - ,"59,837,000","26,088,000", - ,"645,687,000",, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"645,687,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2015,2015_10004,일반청사,3,0,긴급 운전면허본부 울산이전청사 건축공사,4986.55,4923,820.37,754.66,4.2,32.5,1,6,450,77,C등급,"5,191,861,411","1,369,463,864","946,073,879","298,271,904","967,981,617","720,388,574","211,625,286","9,705,666,535",,"8,628,337.55", -   ,"9,967,719.53","436,754.99","1,048,211.99","1,193,796.98","757,041.99","1,125,857.32","3,600,802.28","1,708,197.31","7,162,781.90","7,405,423.57","1,349,087.65", -   , -   ,"562,928.66","-58,234.00","97,056.67","1,174,385.65","16,684,040.77","9,812,428.87","6,861,906.24","2,028,484.31","11,336,218.51","4,173,436.61","9,705,666,535",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2015,2015_10005,일반청사,3,0,국민건강보험공단 순천곡성지사 사옥 신축공사(건축),2911.09,4577.1,793.1,762.26,3.6,15.7,1,4,300,71,"C등급, 내진등급 - 내진설계1등급","4,750,217,393","256,909,265","322,883,994","220,482,330","680,078,776","407,851,842","116,011,068","6,754,434,668",,"3,559,587.07","1,952,031.62","9,672,350.44","472,810.43","1,053,691.81","1,391,413.54","5,964,165.81","1,215,798.24","5,883,112.60","864,567.64","3,289,409.68","6,369,431.89","330,967.30", -   ,"54,035.48","303,949.56","-33,772.17", -   ,"4,518,716.79","3,498,797.16","4,951,000.61","3,113,794.38","1,458,957.89","4,444,418.01","3,215,110.90","6,754,434,668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2015,2015_10006,일반청사,3,0,진안사무소 청사 신축 건축공사(긴급),906.12,1724,522.15,0,3.6,11.55,0,2,180,16,"D등급, 내진등급 - 내진설계2등급","924,797,000", - , - , - ,"166,626,000","62,344,000", - ,"1,153,767,000",, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"1,153,767,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2015,2015_10007,일반청사,3,0,식약처 본부청사 증축 건축공사,6539,400256.8,2031.02,235714.85,4.5,32.5,1,5,480,94,D등급,"9,151,520,678","2,103,878,906","1,075,402,365","63,212,052","1,809,564,073","1,062,851,923","580,380,340","15,846,810,337",,"8,573,124.39","3,121,821.64","22,946,181.37","6,275,336.89","1,917,464.05","4,801,583.53","4,452,953.70","1,331,132.07","316,936.21","2,789,038.62","8,398,809.48","26,828,649.90", -   ,"31,693.62", -   ,"618,025.60", -   , -   ,"348,629.83","19,586,657.58","12,122,809.91","11,140,307.67","8,002,639.22","13,929,346.29","934,961.81","15,846,810,337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2015,2015_10008,일반청사,3,0,김포지사 사옥신축 공사(건축),3599.24,3238.4,722.42,0,0,21.6,1,4,306,72,0,"4,213,891,446","1,741,569,459","493,626,343","174,800,854","965,664,683","374,359,878","201,464,054","8,165,376,717",,"3,927,546.20","2,359,793.87","10,614,989.73", -   ,"1,126,821.99","2,653,747.43","4,972,714.42","963,514.45","2,947,700.99","636,899.38","3,992,869.21","7,332,508.29","1,126,821.99", -   ,"89,819.14","481,757.23","-57,157.64","81,653.77","2,188,320.96","12,386,876.48","9,333,025.59","2,539,432.16","2,784,393.46","6,401,655.35","2,768,062.71","8,165,376,717",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2015,2015_10009,일반청사,3,0,국민건강보험공단 서천출장소 사옥 신축공사(건축),801.11,1556,517.75,185.47,0,19.47,0,2,210,14,"D등급, 내진등급 - 내진설계1등급","1,378,732,000", - , - , - ,"140,154,000","80,067,000","8,930,000","1,607,883,000",, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"1,607,883,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2015,2015_10010,일반청사,3,0,수산자원조사센터 건립공사(건축설비),5309.45,0,0,0,0,0,1,3,480,0,0,"10,336,006,846","1,467,058,718","1,207,001,901","263,267,833","1,523,359,567","970,882,389","275,966,170","16,043,543,424",,"9,369,429.36", -   ,"19,541,035.89","1,684,572.06","2,647,184.66","6,738,288.24","5,278,325.79","770,090.08","12,578,138.04","2,839,707.19","8,503,078.01","12,754,617.02","2,326,313.80", -   , -   ,"898,438.43","-80,217.72", -   ,"1,828,963.95","24,338,055.37","12,658,355.76","5,984,241.70","4,411,974.44","20,664,083.93","4,700,758.22","16,043,543,424",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
